Date,Open,High,Low,Close,Volume
3/03/2015 16:00,61.65,61.99,61.5,61.97,13707655
3/04/2015 16:00,61.64,62.17,61.35,62.13,16626413
3/05/2015 16:00,62.2,62.23,61.6,62,10931262
3/06/2015 16:00,62.16,62.87,60.8,60.89,22719177
3/09/2015 16:00,60.84,61.63,60.8,61.5,13001448
3/10/2015 16:00,60.76,61.01,59.96,59.96,16357206
3/11/2015 16:00,60.13,60.65,59.96,60.24,13014822
3/12/2015 16:00,60.65,61.45,60.65,61.37,18158928
3/13/2015 16:00:00,61.4,61.86,60.43,61,16505895
3/16/2015 16:00:00,61.5,61.92,61.25,61.85,15182759
3/17/2015 16:00:00,61.34,61.66,60.92,61.61,11712554
3/18/2015 16:00:00,61.39,62.05,61.09,61.75,15697394
3/19/2015 16:00:00,61.57,61.65,60.76,61.2,11523385
3/20/2015 16:00:00,61.32,62.1,61.15,61.75,17938424
3/23/2015 16:00:00,61.75,62.08,61.12,61.14,15111043
3/24/2015 16:00:00,60.97,61.24,60.45,60.46,12128010
3/25/2015 16:00:00,60.53,60.64,59.59,59.61,14950859
3/26/2015 16:00:00,59.46,59.79,58.87,59.54,14039559
3/27/2015 16:00:00,59.49,59.78,59,59.55,11755819
3/30/2015 16:00:00,61.04,61.46,60.61,60.96,20653590
3/31/2015 16:00:00,60.72,60.94,60.42,60.58,17343317
4/01/2015 16:00,60.41,60.57,59.73,59.95,18097907
4/02/2015 16:00,60.07,60.7,60,60.52,12697350
4/06/2015 16:00,59.92,60.75,59.65,60.47,12025025
4/07/2015 16:00,61.15,61.5,60.85,60.85,11505003
4/08/2015 16:00,61.06,61.56,60.94,61.05,11733950
4/09/2015 16:00,61.27,61.58,60.83,61.47,11727451
4/10/2015 16:00,61.35,61.78,61.2,61.7,9869070
4/13/2015 16:00:00,61.64,62.27,61.5,62.07,15456312
4/14/2015 16:00:00,62.96,63.61,62.74,63.04,33775156
4/15/2015 16:00:00,63.08,64.48,63.01,64.21,28732025
4/16/2015 16:00:00,64.08,64.27,63.66,63.81,16638166
4/17/2015 16:00:00,63.25,63.4,62.49,62.84,20221236
4/20/2015 16:00:00,63.22,63.52,63.14,63.24,12751859
4/21/2015 16:00:00,63.33,63.6,62.13,62.31,14985119
4/22/2015 16:00:00,62.65,63.15,62.03,62.94,14484658
4/23/2015 16:00:00,62.79,63.21,62.6,62.8,12851157
4/24/2015 16:00:00,62.63,62.84,62.34,62.6,9596925
4/27/2015 16:00:00,62.7,63.15,62.31,62.34,11145273
4/28/2015 16:00:00,62.49,62.78,61.77,62.76,12307828
4/29/2015 16:00:00,62.56,63.89,62.46,63.6,17584942
4/30/2015 16:00:00,63.58,63.88,62.92,63.26,16839165
5/01/2015 16:00,63.7,63.87,63.33,63.61,11640703
5/04/2015 16:00,63.68,64.87,63.64,64.72,14949961
5/05/2015 16:00,64.51,65.32,64.29,64.4,17692169
5/06/2015 16:00,64.53,65.07,63.42,63.92,18085772
5/07/2015 16:00,63.67,64.6,63.25,64.5,15039936
5/08/2015 16:00,64.97,65.65,64.6,65.49,16802361
5/11/2015 16:00,65.26,65.64,65.08,65.45,13799675
5/12/2015 16:00,65.31,65.54,64.76,65.36,12762234
5/13/2015 16:00:00,65.42,65.63,65.06,65.52,11874274
5/14/2015 16:00:00,65.83,66.18,65.71,66.05,11854428
5/15/2015 16:00:00,66.13,66.16,65.44,65.88,11152030
5/18/2015 16:00:00,65.8,66.54,65.8,66.42,10510693
5/19/2015 16:00:00,66.77,67.19,66.57,67.01,14282994
5/20/2015 16:00:00,66.95,67.03,66.4,66.48,12443062
5/21/2015 16:00:00,66.14,66.68,66.01,66.65,12923974
5/22/2015 16:00:00,66.63,66.83,66.32,66.47,9296739
5/26/2015 16:00:00,66.2,66.29,65.31,65.73,15571327
5/27/2015 16:00:00,65.95,66.65,65.82,66.47,10963602
5/28/2015 16:00:00,66.36,66.4,65.74,66.2,11797438
5/29/2015 16:00:00,66.18,66.22,65.36,65.78,14310723
6/01/2015 16:00,65.99,66.66,65.97,66.08,11898761
6/02/2015 16:00,65.83,66.39,65.58,66.02,12783542
6/03/2015 16:00,66.43,67.13,66.27,66.7,12922813
6/04/2015 16:00,66.31,67.05,66.01,66.33,13861373
6/05/2015 16:00,67.37,67.84,67.01,67.42,20798641
6/08/2015 16:00,67.46,67.55,66.81,66.89,14558260
6/09/2015 16:00,66.95,67.27,66.47,67.18,13263335
6/10/2015 16:00,67.59,68.5,67.47,68.26,17478130
6/11/2015 16:00,68.36,68.68,68.15,68.52,13739872
6/12/2015 16:00,68.31,68.54,67.87,68.25,11795214
6/15/2015 16:00:00,67.58,68.21,67.3,67.99,14082193
6/16/2015 16:00:00,67.77,68.52,67.62,68.37,11691749
6/17/2015 16:00:00,68.41,68.68,68.04,68.14,14521889
6/18/2015 16:00:00,68.35,68.82,67.9,68.78,16759253
6/19/2015 16:00:00,68.46,68.67,67.92,68.08,21606278
6/22/2015 16:00:00,68.87,69.29,68.75,68.96,14303249
6/23/2015 16:00:00,69.35,69.82,69.19,69.75,15729159
6/24/2015 16:00:00,69.51,69.77,68.91,69.02,16993984
6/25/2015 16:00:00,69.32,69.47,68.64,68.65,13308405
6/26/2015 16:00:00,68.94,69.29,68.77,68.95,14486259
6/29/2015 16:00:00,67.68,68.26,67.16,67.2,19931733
6/30/2015 16:00:00,67.89,68.11,67.16,67.76,20677358
7/01/2015 16:00,68.12,68.39,67.78,68.07,13964223
7/02/2015 16:00,67.95,68.13,67.19,67.52,12821941
7/06/2015 16:00,66.88,67.46,66.54,67.33,13519327
7/07/2015 16:00,67.09,67.22,65.3,66.8,22419179
7/08/2015 16:00,66,66.16,65.21,65.43,17706842
7/09/2015 16:00,66.49,66.7,65.99,66.11,14983312
7/10/2015 16:00,67.22,67.4,66.83,67.05,12355359
7/13/2015 16:00:00,67.89,68.14,67.68,68.09,16168279
7/14/2015 16:00:00,67.98,69.1,67.76,69.04,20183836
7/15/2015 16:00:00,69.23,69.43,68.85,69.19,16891006
7/16/2015 16:00:00,69.63,69.95,69.41,69.56,18035602
7/17/2015 16:00:00,69.35,69.49,68.92,69.21,14040661
7/20/2015 16:00:00,69.5,69.77,69.18,69.26,11512769
7/21/2015 16:00:00,69.16,69.54,68.87,69.1,11659315
7/22/2015 16:00:00,69.28,70.29,69.2,70.08,15492124
7/23/2015 16:00:00,70.19,70.61,69.46,69.64,14331019
7/24/2015 16:00:00,69.44,69.56,68.68,68.91,12410995
7/27/2015 16:00:00,68.15,68.22,67.57,68.01,16797248
7/28/2015 16:00:00,68.55,68.6,67.77,68.05,14931400
7/29/2015 16:00:00,68.32,69.1,68.16,68.94,13058690
7/30/2015 16:00:00,68.93,69.45,68.54,69.04,10197182
7/31/2015 16:00:00,69.01,69.04,68.4,68.53,11911706
8/03/2015 16:00,68.59,68.84,68,68.53,9980062
8/04/2015 16:00,68.47,68.95,68.31,68.46,10962026
8/05/2015 16:00,69.05,69.42,68.56,68.73,11302860
8/06/2015 16:00,68.75,68.94,68,68.25,10801363
8/07/2015 16:00,68.33,68.74,67.55,68.05,11453310
8/10/2015 16:00,68.22,69.01,68.22,68.89,12661440
8/11/2015 16:00,68.23,68.4,67.85,68.23,14800153
8/12/2015 16:00,67.41,67.55,66.07,67.24,21150053
8/13/2015 16:00:00,67.25,67.8,66.97,67.55,11930623
8/14/2015 16:00:00,67.42,67.91,67.4,67.89,11248813
8/17/2015 16:00:00,67.62,68.24,67.4,68.07,10326540
8/18/2015 16:00:00,67.98,68.36,67.84,68.21,10617181
8/19/2015 16:00:00,67.93,68.31,67.36,67.6,15197703
8/20/2015 16:00:00,66.81,67.04,65.94,65.94,20933013
8/21/2015 16:00:00,65.09,65.44,63.57,63.6,28235155
8/24/2015 16:00:00,59.29,62.92,50.07,60.25,36329277
8/25/2015 16:00:00,63.1,63.32,59.73,59.91,31767426
8/26/2015 16:00:00,61.8,62.98,60.55,62.91,33574095
8/27/2015 16:00:00,63.98,64.73,63.14,64.48,29045241
8/28/2015 16:00:00,64.29,64.46,63.6,64.13,16687013
8/31/2015 16:00:00,63.61,64.35,63.47,64.1,14222916
9/01/2015 16:00,62.85,62.85,60.99,61.45,23634694
9/02/2015 16:00,62.62,62.91,61.54,62.57,17756444
9/03/2015 16:00,62.88,63.66,62.45,62.68,17065369
9/04/2015 16:00,61.8,61.92,60.75,61.5,20188703
9/08/2015 16:00,62.77,63.2,62.33,63.16,13383326
9/09/2015 16:00,63.94,64.34,62,62.18,13888910
9/10/2015 16:00,61.86,63,61.45,62.66,15748710
9/11/2015 16:00,62.38,62.66,61.99,62.56,12766683
9/14/2015 16:00:00,62.64,62.69,62.12,62.38,10202587
9/15/2015 16:00:00,62.76,63.89,62.51,63.58,14023403
9/16/2015 16:00:00,63.89,64.29,63.21,64.14,12235235
9/17/2015 16:00:00,64.14,64.64,62.39,62.65,21247289
9/18/2015 16:00:00,61.83,61.83,60.78,60.94,31006084
