Date,Open,High,Low,Close,Volume
3/03/2015 16:00,5.61,5.64,5.53,5.55,4008638
3/04/2015 16:00,5.53,5.62,5.5,5.61,5670997
3/05/2015 16:00,5.61,5.73,5.59,5.72,8076425
3/06/2015 16:00,5.68,5.71,5.63,5.64,6434807
3/09/2015 16:00,5.64,5.7,5.63,5.65,5559693
3/10/2015 16:00,5.68,5.79,5.67,5.75,13180267
3/11/2015 16:00,5.75,5.83,5.7,5.72,6552965
3/12/2015 16:00,5.66,5.71,5.56,5.67,10174260
3/13/2015 16:00:00,5.64,5.69,5.56,5.68,8982188
3/16/2015 16:00:00,5.72,5.78,5.68,5.74,5923864
3/17/2015 16:00:00,5.73,5.82,5.69,5.81,7498556
3/18/2015 16:00:00,5.82,5.84,5.67,5.72,10346084
3/19/2015 16:00:00,5.74,5.83,5.7,5.8,7768859
3/20/2015 16:00:00,5.86,5.9,5.8,5.87,11552119
3/23/2015 16:00:00,5.69,5.77,5.68,5.68,10650277
3/24/2015 16:00:00,5.66,5.7,5.58,5.6,8262025
3/25/2015 16:00:00,5.59,5.6,5.24,5.26,13563840
3/26/2015 16:00:00,5.15,5.26,5.12,5.24,7797997
3/27/2015 16:00:00,5.25,5.37,5.19,5.35,7957152
3/30/2015 16:00:00,5.37,5.4,5.3,5.37,6331256
3/31/2015 16:00:00,5.35,5.36,5.23,5.23,8931942
4/01/2015 16:00,5.25,5.27,5.16,5.25,8269223
4/02/2015 16:00,5.29,5.3,5.22,5.27,4805086
4/06/2015 16:00,5.24,5.44,5.19,5.42,12896584
4/07/2015 16:00,5.42,5.53,5.39,5.47,10349069
4/08/2015 16:00,5.47,5.53,5.42,5.51,9160786
4/09/2015 16:00,5.47,5.65,5.46,5.63,9485827
4/10/2015 16:00,5.65,5.69,5.62,5.69,6468219
4/13/2015 16:00:00,5.67,5.71,5.61,5.64,5918106
4/14/2015 16:00:00,5.61,5.64,5.54,5.59,5506852
4/15/2015 16:00:00,5.6,5.7,5.58,5.66,6088960
4/16/2015 16:00:00,5.63,5.67,5.58,5.62,3882058
4/17/2015 16:00:00,5.52,5.61,5.5,5.55,7340917
4/20/2015 16:00:00,5.57,5.61,5.51,5.52,5790646
4/21/2015 16:00:00,5.55,5.59,5.49,5.51,5761365
4/22/2015 16:00:00,5.55,5.59,5.46,5.58,5185481
4/23/2015 16:00:00,5.47,5.61,5.41,5.56,6484469
4/24/2015 16:00:00,5.56,5.56,5.45,5.51,6023972
4/27/2015 16:00:00,5.54,5.65,5.48,5.55,6211356
4/28/2015 16:00:00,5.54,5.6,5.49,5.58,5862106
4/29/2015 16:00:00,5.54,5.59,5.51,5.54,4878919
4/30/2015 16:00:00,5.51,5.58,5.5,5.55,5471083
5/01/2015 16:00,5.6,5.71,5.57,5.69,6424185
5/04/2015 16:00,5.68,5.72,5.64,5.65,5018024
5/05/2015 16:00,5.63,5.64,5.48,5.51,7323195
5/06/2015 16:00,5.54,5.59,5.45,5.53,7912111
5/07/2015 16:00,5.5,5.64,5.49,5.62,13364077
5/08/2015 16:00,5.25,5.46,5.12,5.21,28663778
5/11/2015 16:00,5.14,5.21,5.1,5.16,13603644
5/12/2015 16:00,5.12,5.25,5.12,5.21,9719994
5/13/2015 16:00:00,5.25,5.29,5.19,5.24,7713070
5/14/2015 16:00:00,5.25,5.35,5.24,5.32,7326280
5/15/2015 16:00:00,5.35,5.37,5.29,5.33,5395619
5/18/2015 16:00:00,5.31,5.35,5.29,5.32,8124292
5/19/2015 16:00:00,5.3,5.32,5.25,5.26,6345222
5/20/2015 16:00:00,5.26,5.33,5.26,5.26,4920581
5/21/2015 16:00:00,5.27,5.29,5.22,5.22,5992250
5/22/2015 16:00:00,5.23,5.25,5.2,5.22,5315282
5/26/2015 16:00:00,5.23,5.23,5.14,5.18,6493277
5/27/2015 16:00:00,5.22,5.48,5.2,5.46,10808271
5/28/2015 16:00:00,5.45,5.55,5.45,5.54,8191431
5/29/2015 16:00:00,5.54,5.57,5.53,5.53,8379244
6/01/2015 16:00,5.57,5.65,5.53,5.6,9316504
6/02/2015 16:00,5.57,5.59,5.48,5.48,5607582
6/03/2015 16:00,5.49,5.54,5.42,5.43,6269692
6/04/2015 16:00,5.44,5.54,5.39,5.52,8092765
6/05/2015 16:00,5.51,5.59,5.45,5.57,7833001
6/08/2015 16:00,5.55,5.59,5.38,5.44,8570301
6/09/2015 16:00,5.45,5.51,5.43,5.47,6422222
6/10/2015 16:00,5.41,5.44,5.34,5.37,13236526
6/11/2015 16:00,5.37,5.46,5.37,5.43,7076296
6/12/2015 16:00,5.39,5.42,5.27,5.28,8093164
6/15/2015 16:00:00,5.25,5.29,5.21,5.27,7663673
6/16/2015 16:00:00,5.25,5.34,5.21,5.33,6422253
6/17/2015 16:00:00,5.33,5.43,5.32,5.4,5838648
6/18/2015 16:00:00,5.44,5.52,5.43,5.49,7485090
6/19/2015 16:00:00,5.49,5.53,5.42,5.47,8891427
6/22/2015 16:00:00,5.48,5.51,5.36,5.44,12855929
